debut_year,n_songs,n_matched,n_lyrics,total_points,n_scored_b,coverage_scored_b,coverage_lyrics
1958,352,210,207,157509,69,0.19602272727272727,0.5880681818181818
1959,573,300,297,266477,73,0.1273996509598604,0.518324607329843
1960,590,357,351,267015,115,0.19491525423728814,0.5949152542372881
1961,685,390,386,262342,104,0.15182481751824817,0.5635036496350365
1962,668,397,385,263038,97,0.14520958083832336,0.5763473053892215
1963,662,390,383,262109,117,0.17673716012084592,0.5785498489425982
1964,716,424,420,261416,131,0.1829608938547486,0.5865921787709497
1965,706,450,444,267493,130,0.18413597733711048,0.6288951841359773
1966,740,483,482,266324,130,0.17567567567567569,0.6513513513513514
1967,736,501,495,267103,119,0.16168478260869565,0.6725543478260869
1968,679,453,450,264814,134,0.19734904270986744,0.6627393225331369
1969,667,459,455,262092,116,0.17391304347826086,0.6821589205397302
1970,633,429,428,267320,134,0.21169036334913113,0.6761453396524486
1971,612,403,402,258641,118,0.19281045751633988,0.6568627450980392
1972,583,408,406,270172,122,0.20926243567753003,0.6963979416809606
1973,505,362,357,264220,97,0.19207920792079208,0.7069306930693069
1974,494,364,360,262004,97,0.19635627530364372,0.728744939271255
1975,556,395,392,271268,103,0.18525179856115107,0.7050359712230215
1976,522,369,367,264122,84,0.16091954022988506,0.7030651340996169
1977,467,345,343,265359,108,0.23126338329764454,0.734475374732334
1978,441,332,331,257275,88,0.19954648526077098,0.7505668934240363
1979,483,362,361,267607,102,0.2111801242236025,0.7474120082815735
1980,450,340,337,266280,86,0.19111111111111112,0.7488888888888889
1981,410,312,311,259204,89,0.21707317073170732,0.7585365853658537
1982,429,337,337,268578,90,0.2097902097902098,0.7855477855477856
1983,440,347,347,262293,97,0.22045454545454546,0.7886363636363637
1984,431,350,350,270517,93,0.21577726218097448,0.8120649651972158
1985,404,348,347,268430,93,0.2301980198019802,0.8589108910891089
1986,396,337,337,263081,71,0.17929292929292928,0.851010101010101
1987,388,308,308,259841,85,0.2190721649484536,0.7938144329896907
1988,380,314,314,260384,86,0.22631578947368422,0.8263157894736842
1989,385,325,325,258971,89,0.23116883116883116,0.8441558441558441
1990,376,309,309,263173,91,0.24202127659574468,0.8218085106382979
1991,380,303,303,264081,75,0.19736842105263158,0.7973684210526316
1992,358,287,286,268739,73,0.20391061452513967,0.7988826815642458
1993,341,268,268,260307,77,0.22580645161290322,0.7859237536656891
1994,337,278,278,271330,91,0.27002967359050445,0.8249258160237388
1995,332,271,271,273600,86,0.25903614457831325,0.8162650602409639
1996,306,262,260,254665,80,0.26143790849673204,0.8496732026143791
1997,327,257,257,267309,86,0.26299694189602446,0.7859327217125383
1998,355,272,272,265613,74,0.2084507042253521,0.7661971830985915
1999,310,246,245,255111,71,0.22903225806451613,0.7903225806451613
2000,316,267,267,272292,83,0.2626582278481013,0.8449367088607594
2001,288,238,238,263390,77,0.2673611111111111,0.8263888888888888
2002,302,253,253,262512,74,0.24503311258278146,0.8377483443708609
2003,307,266,266,260491,77,0.250814332247557,0.8664495114006515
2004,303,265,265,268857,68,0.22442244224422442,0.8745874587458746
2005,344,295,295,271094,84,0.2441860465116279,0.8575581395348837
2006,366,324,324,264342,83,0.226775956284153,0.8852459016393442
2007,352,309,309,264304,89,0.2528409090909091,0.8778409090909091
2008,411,344,344,275638,107,0.26034063260340634,0.8369829683698297
2009,429,378,378,264423,110,0.2564102564102564,0.8811188811188811
2010,474,420,420,266242,123,0.25949367088607594,0.8860759493670886
2011,483,439,438,274215,124,0.2567287784679089,0.906832298136646
2012,363,313,313,253702,104,0.2865013774104683,0.8622589531680441
2013,381,343,343,261196,111,0.29133858267716534,0.9002624671916011
2014,361,316,316,268240,101,0.27977839335180055,0.8753462603878116
2015,392,349,349,255766,117,0.29846938775510207,0.8903061224489796
2016,410,371,371,265673,113,0.275609756097561,0.9048780487804878
2017,453,418,418,267452,118,0.26048565121412803,0.9227373068432672
2018,595,548,548,286543,165,0.2773109243697479,0.9210084033613445
2019,518,470,470,277513,142,0.27413127413127414,0.9073359073359073
2020,673,614,614,248168,175,0.2600297176820208,0.912332838038633
2021,647,562,562,262128,160,0.2472952086553323,0.8686244204018547
2022,628,562,562,256299,172,0.27388535031847133,0.8949044585987261
2023,609,555,555,230981,167,0.2742200328407225,0.9113300492610837
2024,621,558,557,268653,162,0.2608695652173913,0.8969404186795491
2025,572,517,517,214996,170,0.2972027972027972,0.9038461538461539
2026,399,365,365,90000,121,0.3032581453634085,0.9147869674185464
