debut_year,title_display,artist_display,p,points
2008,I'm Yours,Jason Mraz,0.502899169921875,5433
2020,Mood,24kGoldn Featuring iann dior,0.4511423110961914,4439
2011,Sail,AWOLNATION,0.5387822985649109,3997
2004,Yeah!,Usher Featuring Lil Jon & Ludacris,0.532896101474762,3952
2010,Dynamite,Taio Cruz,0.4987487494945526,3845
2015,Earned It (Fifty Shades Of Grey),The Weeknd,0.5066982507705688,3292
2013,Timber,Pitbull Featuring Ke$ha,0.48428863286972046,3222
2023,Agora Hills,Doja Cat,0.44996657967567444,2946
2018,Drip Too Hard,Lil Baby & Gunna,0.452301561832428,2895
2025,I Got Better,Morgan Wallen,0.5190489888191223,2885
2019,Ballin',Mustard & Roddy Ricch,0.44686806201934814,2853
2011,Pumped Up Kicks,Foster The People,0.45091089606285095,2797
2023,Fukumean,Gunna,0.5400294661521912,2657
2004,Drop It Like It's Hot,Snoop Dogg Featuring Pharrell,0.4526115655899048,2624
1985,Running Up That Hill (A Deal With God),Kate Bush,0.49128052592277527,2624
