decade,debut_year,title_display,artist_display,p,points
1950,1959,Makin' Love,Floyd Robinson,0.845815122127533,1113
1950,1958,Down In Virginia,Jimmy Reed,0.5691044330596924,13
1950,1959,Mr. Blue,The Fleetwoods,0.5540633201599121,1615
1950,1959,You Got What It Takes,Marv Johnson,0.4335392415523529,1445
1960,1966,Red Rubber Ball,The Cyrkle,0.9978760480880737,1000
1960,1966,Drive My Car,Bob Kuban And The In-Men,0.9949396848678589,21
1960,1961,Bye Bye Baby,Mary Wells,0.9898500442504883,285
1960,1964,Ain't Doing Too Bad (Part 1),Bobby Bland,0.9859092235565186,248
1970,1974,As Long As He Takes Care Of Home,Candi Staton,0.9834387302398682,223
1970,1978,I Will Survive,Gloria Gaynor,0.9744834303855896,1811
1970,1976,Down To Love Town,The Originals,0.9683213233947754,298
1970,1978,Beast Of Burden,The Rolling Stones,0.9578729271888733,868
1980,1984,The Glamorous Life,Sheila E.,0.9802241921424866,1606
1980,1982,Dreamin',John Schneider,0.9686788320541382,272
1980,1989,Free Fallin',Tom Petty,0.9621075987815857,1312
1980,1986,Another Night,Aretha Franklin,0.9602867364883423,790
1990,1998,Believe,Cher,0.9951514601707458,2493
1990,1991,Don't Want To Be A Fool,Luther Vandross,0.9851860404014587,1243
1990,1994,Don't Turn Around,Ace Of Base,0.9801862239837646,2591
1990,1995,Diggin' On You,TLC,0.970098614692688,1615
2000,2003,"Me, Myself And I",Beyonce,0.9941573739051819,1878
2000,2005,Don't Bother,Shakira,0.9858139753341675,305
2000,2007,U + Ur Hand,P!nk,0.985772967338562,1934
2000,2000,Another Dumb Blonde,Hoku,0.9842910766601562,722
2010,2019,Don't Call Me Up,Mabel,0.9975560903549194,229
2010,2019,Buy My Own Drinks,Runaway June,0.9937466382980347,47
2010,2015,Ayo,Chris Brown & Tyga,0.9889064431190491,1264
2010,2019,Demons And Angels,A Boogie Wit da Hoodie Featuring Juice WRLD,0.9853562116622925,24
2020,2020,Closure,Taylor Swift,0.9981862306594849,19
2020,2023,Do It Again,NLE Choppa & 2Rare,0.9942250847816467,55
2020,2023,Cairo,Karol G & Ovy On The Drums,0.9894703030586243,19
2020,2020,Captain Hook,Megan Thee Stallion,0.9882448315620422,50
