metric,genre,n_songs,n_years,kendall_tau,p_value,change_per_decade
minor_key_share,cla,349,21,0.14285714285714285,0.3857814338605447,0.055756566558296056
minor_key_share,dan,361,30,0.3241379310344828,0.011605514320066219,0.08884684335746706
minor_key_share,hip,903,49,0.06972789115646258,0.47967429374558535,0.010354385293996756
minor_key_share,jaz,305,23,0.09881422924901187,0.530402707872889,0.044117018222246576
minor_key_share,pop,2127,66,-0.03123543123543123,0.710797694238582,-0.002215735154758697
minor_key_share,rhy,2117,65,0.4390953063738205,2.418562486872903e-07,0.03854605051049392
minor_key_share,roc,1143,63,-0.18864940693515533,0.031451453061207675,-0.017538027229968937
bpm,cla,349,21,0.14285714285714285,0.3857814338605447,3.3822944983691707
bpm,dan,361,30,0.17701149425287357,0.1766361962257359,1.6879290566008094
bpm,hip,903,49,-0.26530612244897955,0.007158301368722786,-2.532659718395161
bpm,jaz,305,23,0.16205533596837945,0.2943655636021919,3.1272514350408427
bpm,pop,2127,66,-0.12167832167832168,0.1486261630503181,-0.5246405182339489
bpm,rhy,2117,65,-0.025961538461538463,0.759821804319769,-0.09374249735657242
bpm,roc,1143,63,0.03225806451612903,0.708658296596709,0.3009311439133412
lyric_valence,hip,171,10,-0.28888888888888886,0.2912483465608466,-0.019641300426035
lyric_valence,pop,405,36,-0.47936507936507944,3.8968810480906614e-05,-0.012775069538778567
lyric_valence,rhy,401,32,-0.12500000000000003,0.32533296353981855,-0.0037957881002526474
lyric_valence,roc,230,15,-0.12380952380952381,0.5589660721223221,-0.0033236022729959958
lyric_joy,hip,171,10,-0.5555555555555555,0.02860945767195767,-0.016252043233110722
lyric_joy,pop,405,36,-0.44444444444444453,0.00013681833162739281,-0.005319125756119412
lyric_joy,rhy,401,32,-0.37500000000000006,0.0022464011202768387,-0.004802264682583679
lyric_joy,roc,230,15,-0.12380952380952381,0.5589660721223221,-0.0010987568304874345
independence_share,hip,265,21,-0.014824986333222025,0.9268695080122049,-0.0
independence_share,pop,709,58,0.3195933976966327,0.0006556213523944128,0.018168365745315072
independence_share,rhy,782,58,0.26706424826738423,0.004277410236738513,0.01879253193719506
independence_share,roc,276,18,0.3213881126871271,0.08042964385004935,0.01754256470819801
relationship_share,dan,183,12,-0.201604912253002,0.3685308013924551,-0.08436623704034925
relationship_share,hip,434,33,0.024644560834018267,0.8403455115461813,0.005562538079689847
relationship_share,pop,962,64,0.03919623042963273,0.647165232998548,0.004168156317922268
relationship_share,rhy,1018,61,0.1656190277758224,0.05935161914702979,0.016258155125789403
relationship_share,roc,454,40,-0.005128205128205129,0.9628287337753054,-0.0005774827917439318
