era,word,count,share
1958-1979,never,5669,0.015076004978352675
1958-1979,can't,4936,0.013126682055591605
1958-1979,girl,4907,0.013049560139138576
1958-1979,i'll,4672,0.01242460667822609
1958-1979,away,4541,0.012076228365972747
1958-1979,man,4242,0.011281074813577712
1958-1979,well,3974,0.010568361930494537
1958-1979,i've,3616,0.009616305168764027
1958-1979,more,3608,0.00959503015732871
1958-1979,said,3527,0.009379620666546108
1958-1979,'cause,3379,0.008986032954992713
1958-1979,too,3304,0.0087865797227866
1958-1979,that's,3294,0.008759985958492453
1958-1979,doo,3198,0.00850468582126863
1958-1979,da,3134,0.00833448572978608
1958-1979,where,3107,0.008262682566191878
1958-1979,every,2957,0.007863776101779655
1958-1979,around,2928,0.007786654185326624
1958-1979,only,2815,0.007486144648802749
1958-1979,some,2701,0.007182975735849458
1958-1979,yes,2641,0.007023413150084568
1958-1979,why,2571,0.00683725680002553
1958-1979,again,2561,0.006810663035731382
1958-1979,through,2509,0.00667237546140181
1958-1979,won't,2467,0.0065606816513663875
1980-1999,never,7256,0.018655162307110867
1980-1999,can't,6855,0.017624192063843025
1980-1999,i'll,5395,0.013870534819027443
1980-1999,girl,5317,0.013669996966222227
1980-1999,'cause,5000,0.012854990564436926
1980-1999,away,4378,0.011255829738220972
1980-1999,i've,3969,0.010204291510050032
1980-1999,more,3899,0.010024321642147914
1980-1999,that's,3669,0.009432992076183816
1980-1999,man,3597,0.009247880212055925
1980-1999,too,3523,0.009057626351702259
1980-1999,why,3338,0.008581991700818092
1980-1999,every,3295,0.008471438781963934
1980-1999,some,3256,0.008371169855561326
1980-1999,there's,3151,0.008101215053708151
1980-1999,only,3151,0.008101215053708151
1980-1999,around,3033,0.007797837276387439
1980-1999,through,2959,0.007607583416033773
1980-1999,where,2895,0.00744303953680898
1980-1999,won't,2866,0.0073684805915352454
1980-1999,tonight,2838,0.007296492644374399
1980-1999,well,2793,0.007180797729294467
1980-1999,again,2767,0.007113951778359395
1980-1999,said,2692,0.00692112691989284
1980-1999,gotta,2654,0.00682342899160312
2000-2026,can't,13717,0.013303358668907654
2000-2026,'cause,13049,0.01265550246195057
2000-2026,never,12227,0.011858290183329729
2000-2026,girl,11887,0.011528543012124028
2000-2026,nigga,10009,0.009707174813523126
2000-2026,that's,9266,0.00898658025997655
2000-2026,i'll,8427,0.008172880622795422
2000-2026,off,8270,0.008020615017268083
2000-2026,some,7818,0.00758224524848874
2000-2026,too,7663,0.007431919332203787
2000-2026,'em,7413,0.007189458176905478
2000-2026,niggas,7362,0.0071399961012246225
2000-2026,more,6925,0.006716174001763177
2000-2026,man,6881,0.006673500838430675
2000-2026,gon',6757,0.006553240105402714
2000-2026,where,6724,0.006521235232903337
2000-2026,still,6657,0.006456255643283389
2000-2026,these,6462,0.006267135942150708
2000-2026,gotta,6329,0.006138146607532007
2000-2026,woah,6260,0.006071227328669674
2000-2026,said,6253,0.006064438416321321
2000-2026,why,6171,0.005984911157383476
2000-2026,ayy,6091,0.005907323587688016
2000-2026,every,5952,0.005772515185342156
2000-2026,only,5586,0.005417552053985431
